V1,V2,V3,V4,V5,V6,V7
BX1,961,.T4,22,BX1,961,.T4
BV4,647,.J6,8.00E+04,4,BV4,647
BT7,67,M29,9,BT7,67,M29
BV5,80,.C2,613,BV5,80,.C2
BV8,5.H,87,BV8,5.H,87,BV8
BV4,579,.5.,H87,BV4,579,.5.
BV4,501,.H8,8,BV4,501,.H8
BX2,350,.H8,7,BX2,350,.H8
BV4,647,.M4,BV4,647,.M4,BV4
BX2,265,0.3,BX2,265,0.3,BX2
B48,350,B48,350,B48,350,B48
BT3,75,C38,BT3,75,C38,BT3
BV4,647,.M4,C38,4,BV4,647
BT3,75,C38,BT3,75,C38,BT3
B48,350,B48,350,B48,350,B48
BV4,11,.N6,83,BV4,11,.N6
BV5,80,.J6,441,3,BV5,80
PR6,37,.P2,9M4,PR6,37,.P2
PR2,976,.G7,38,PR2,976,.G7
PR6,102,PR6,102,PR6,102,PR6
BX4,705,.F2,66C,2,BX4,705
BX2,350,.T7,4,BX2,350,.T7
BV4,501,.G7,785,BV4,501,.G7
PR9,199,.M4,53W,56,PR9,199
PZ3,.M4,463,W,PZ3,.M4,463
BR5,3.S,5,BR5,3.S,5,BR5
BT6,60,M44,B37,BT6,60,M44
BR6,5.A,52E,6,BR6,5.A,52E
BX4,700,.F6,3.00E+05,BX4,700,.F6
BX2,435,.M4,68,BX2,435,.M4
BX1,920,.S3,BX1,920,.S3,BX1
BL2,525,.R4,613,BL2,525,.R4
BX2,350,.C6,23,BX2,350,.C6
BX4,655,.H5,BX4,655,.H5,BX4
BX2,163,BX2,163,BX2,163,BX2
BX4,705,.M1,94B,75,BX4,705
BX4,705,.N5,Z46,BX4,705,.N5
BX1,970,.B4,251,3,BX1,970
BX2,350,.P4,8,BX2,350,.P4
BX4,705,.S3,8F4,15,BX4,705
BX1,752,.I9,4,BX1,752,.I9
D91,9.B,44,D91,9.B,44,D91
BV4,811,.R7,6,BV4,811,.R7
BX4,705,.L7,42A,4,BX4,705
BX2,350,.N6,67,BX2,350,.N6
BX4,700,.T4,P4,BX4,700,.T4
BX4,700,.F6,T51,3,BX4,700
BX2,350,.N6,76,BX2,350,.N6
BX3,78,M2E,931,3,BX3,78
BX4,705,.M5,42A,3,BX4,705
DA2,9,T4D,78,DA2,9,T4D
BV5,80,.J6,441,3,BV5,80
BX4,700,.V6,H8,BX4,700,.V6
PR5,812,.M8,7,PR5,812,.M8
BX2,40,.O4,8,BX2,40,.O4
PR3,403,.A1,PR3,403,.A1,PR3
BT6,5,3,BT6,5,3,BT6
BX2,163,BX2,163,BX2,163,BX2
PZ3,.U5,68M,PZ3,.U5,68M,PZ3
PR6,45,.A9,7B7,PR6,45,.A9
PS3,556,.L8,9.00E+03,5,PS3,556
BS1,91,A1.,C65,BS1,91,A1.
PS3,563,.A2,937,P54,PS3,563
BS1,91,A1.,C65,BS1,91,A1.
BL5,60,C44,5,BL5,60,C44
BL3,10,H3,BL3,10,H3,BL3
PS3,553,.O5,136,M7,PS3,553
PR4,34,PR4,34,PR4,34,PR4
PR3,560,PR3,560,PR3,560,PR3
BT6,50,M26,13,BT6,50,M26
PS3,565,.C5,7W5,PS3,565,.C5
PG7,158,.M5,53A,2,PG7,158
BX4,406,.Z8,G56,13,BX4,406
BS5,92,BS5,92,BS5,92,BS5
BS5,92,BS5,92,BS5,92,BS5
BT7,55,D31,3,BT7,55,D31
BX1,968,.K4,4,BX1,968,.K4
BS1,555,0.3,BS1,555,0.3,BS1
BT1,27,D84,BT1,27,D84,BT1
BS6,80,F3,BS6,80,F3,BS6
BX2,350,.T4,66,BX2,350,.T4
BX2,350,.I3,6,BX2,350,.I3
BX4,705,.A5,8H2,BX4,705,.A5
BS2,560,.I5,BS2,560,.I5,BS2
BX2,159,.P7,D3,BX2,159,.P7
PS3,558,.U4,674,7R5,7,PS3
BT9,6,BT9,6,BT9,6,BT9
BX4,655,.D6,6,BX4,655,.D6
BS2,625,.D8,13,BS2,625,.D8
BT3,1,2.B,28,BT3,1,2.B
BX4,700,.C6,5G7,BX4,700,.C6
BX2,179,.L7,E5,BX2,179,.L7
F10,30,R87,3,F10,30,R87
BS1,197,.A6,3,BS1,197,.A6
BV2,13,E75,13,BV2,13,E75
BS1,430,.C5,4,BS1,430,.C5
BS1,140,.D8,4,BS1,140,.D8
BV2,15,G69,BV2,15,G69,BV2
BV2,15,G7,BV2,15,G7,BV2
BS4,91,B7,BS4,91,B7,BS4
PR6,52,.O3,9M3,PR6,52,.O3
BS1,565,.K4,4,BS1,565,.K4
BS1,555,0.2,BS1,555,0.2,BS1
BV5,91,.C7,R65,BV5,91,.C7
BX4,700,.T4,A81,3,BX4,700
BS2,601,.F5,5,BS2,601,.F5
BX2,185,.C3,513,BX2,185,.C3
BS5,11,H8,BS5,11,H8,BS5
BX4,655,.H3,BX4,655,.H3,BX4
BX4,700,.B7,7S5,7,BX4,700
BX4,700,.A4,25P,33,BX4,700
BR1,720,.A9,C47,BR1,720,.A9
BX4,655,.B2,5,BX4,655,.B2
BM5,80,E34,BM5,80,E34,BM5
BV4,637,.S2,8,BV4,637,.S2
BX4,406,.Z8,M8,BX4,406,.Z8
BV5,80,.C5,3,BV5,80,.C5
BX4,700,.F8,Y4,BX4,700,.F8
BT7,32,K73,3,BT7,32,K73
BX2,160,0.2,BX2,160,0.2,BX2
BX2,265,.K3,6,BX2,265,.K3
BV4,501,.N6,3,BV4,501,.N6
BV4,11,.N6,82,BV4,11,.N6
BX1,376,.P4,6,BX1,376,.P4
BS1,140,.B6,3,BS1,140,.B6
BX1,378,.H3,BX1,378,.H3,BX1
B24,30,W47,4F5,613,B24,30
PS3,558,.U4,674,7B3,8,PS3
HQ7,67,N37,9,HQ7,67,N37
BS2,575,.F4,BS2,575,.F4,BS2
BS5,43,P28,BS5,43,P28,BS5
BX4,705,.R7,251,6L4,3,BX4
BT3,1,B25,BT3,1,B25,BT3
BX4,705,.C7,763,G76,BX4,705
BS1,515,.H4,7,BS1,515,.H4
BX4,668,.S7,7,BX4,668,.S7
BS1,192,.D7,3,BS1,192,.D7
BX9,30,P33,BX9,30,P33,BX9
BX9,30,P33,BX9,30,P33,BX9
BS4,75,G46,BS4,75,G46,BS4
PR6,52,.R5,9,PR6,52,.R5
BS4,75,D65,BS4,75,D65,BS4
PS3,563,.C3,37R,63,PS3,563
PR1,866,.K6,4,PR1,866,.K6
Q14,1.W,22,Q14,1.W,22,Q14
BS2,370,.W5,BS2,370,.W5,BS2
BX1,386,.M1,21,BX1,386,.M1
BX1,386,.M1,21,BX1,386,.M1
BX4,705,.M5,42R,5,BX4,705
F13,0.N,4M3,8,F13,0.N,4M3
BX4,705,.M1,24,BX4,705,.M1
BX4,705,.M1,24O,54,BX4,705
BX4,705,.H4,4A3,3,BX4,705
BS2,407,.G5,BS2,407,.G5,BS2
BX1,406,.2P,82,BX1,406,.2P
PR6,3,.E4,5Z8,PR6,3,.E4
BS1,455,.Z7,2M8,BS1,455,.Z7
BS5,87,BS5,87,BS5,87,BS5
BX4,705,.P8,7M3,4,BX4,705
BT3,1,P18,5,BT3,1,P18
BT4,30,G6,BT4,30,G6,BT4
DG2,79,E94,DG2,79,E94,DG2
BT3,40,G6,BT3,40,G6,BT3
DK2,65,15,P67,DK2,65,15
BT3,40,G6,BT3,40,G6,BT3
BX9,45,L35,BX9,45,L35,BX9
DS1,21,B72,DS1,21,B72,DS1
BV2,100,.N4,BV2,100,.N4,BV2
BP1,72,W52,BP1,72,W52,BP1
BX3,711,.M5,4P3,813,BX3,711
BX4,705,.M7,2M2,5,BX4,705
BX4,700,.T3,H38,BX4,700,.T3
BV4,11,.O2,66,BV4,11,.O2
BX4,705,.F7,35A,3,BX4,705
BR1,608,.C2,BR1,608,.C2,BR1
BX4,700,.F3,4R3,BX4,700,.F3
BX4,700,.S6,5A8,6,BX4,700
BX8,30,B42,68,BX8,30,B42
BX8,80,.J4,4T7,5,BX8,80
BX2,350,.B4,55,BX2,350,.B4
BX2,233,.N5,4,BX2,233,.N5
BX2,351,.M3,77,BX2,351,.M3
BX2,351,.M3,77,BX2,351,.M3
BR1,720,.A9,B7,BR1,720,.A9
BS2,505,.G5,32,BS2,505,.G5
BX1,378,.H3,BX1,378,.H3,BX1
PS3,552,.R6,854,34D,335,PS3
BX1,754,.K3,65,BX1,754,.K3
BX4,705,.N5,.W5,53,BX4,705
HQ7,67,3.C,638,HQ7,67,3.C
BV5,98,C67,BV5,98,C67,BV5
LF9,15,S58,LF9,15,S58,LF9
BX1,755,.S4,6,BX1,755,.S4
LB2,321,.N5,4,LB2,321,.N5
LB2,321,.N5,4,LB2,321,.N5
P90,.M2,577,3,P90,.M2,577
BX4,705,.N4,S4,BX4,705,.N4
V63,.G7,4A3,V63,.G7,4A3,V63
BX4,705,.N5,K47,BX4,705,.N5
LA2,27,B58,4,LA2,27,B58
BX1,390,.H5,BX1,390,.H5,BX1
BX8,42,D84,BX8,42,D84,BX8
PS3,566,.E6,912,S57,PS3,566
BV4,850,.B5,2,BV4,850,.B5
D81,0.J,4F7,271,3,D81,0.J
BV4,625,BV4,625,BV4,625,BV4
B81,9.B,37,B81,9.B,37,B81
BV4,833,.S4,13,BV4,833,.S4
BT6,60,F3B,59,BT6,60,F3B
BL2,747,.M4,BL2,747,.M4,BL2
BX1,6,W3,BX1,6,W3,BX1
BP1,63,R36,BP1,63,R36,BP1
BP1,73,V48,BP1,73,V48,BP1
BL2,530,.U6,G84,BL2,530,.U6
BX8,19,O68,L47,13,BX8,19
PS3,558,.A5,133,Z47,PS3,558
AZ1,1,AZ1,1,AZ1,1,AZ1
BX1,912,.R3,8,BX1,912,.R3
BX2,230,.D2,83,BX2,230,.D2
BL4,8.C,5,BL4,8.C,5,BL4
BX1,912,0.5,BX1,912,0.5,BX1
BX1,912,.D8,7,BX1,912,.D8
BV4,529,.C3,7,BV4,529,.C3
BX1,753,.A5,25,BX1,753,.A5
BM1,55,J48,BM1,55,J48,BM1
BX8,.C5,83,BX8,.C5,83,BX8
BX1,752,BX1,752,BX1,752,BX1
BP6,3,M37,BP6,3,M37,BP6
BX3,78,F56,13,BX3,78,F56
BL8,0.2,H3,BL8,0.2,H3,BL8
BT7,7.L,348,BT7,7.L,348,BT7
BX4,713,.F6,BX4,713,.F6,BX4
LC3,83,M34,LC3,83,M34,LC3
PR6,13,.R4,4M6,PR6,13,.R4
HQ5,6.S,33,HQ5,6.S,33,HQ5
HQ7,67P,45,HQ7,67P,45,HQ7
BT1,20,B31,3,BT1,20,B31
BV2,180,.D3,2,BV2,180,.D3
BJ1,481,.S6,6,BJ1,481,.S6
HQ7,67,W56,18,HQ7,67,W56
HD2,755,0.5,HD2,755,0.5,HD2
BT2,35,H39,BT2,35,H39,BT2
HQ7,67,G62,HQ7,67,G62,HQ7
BT7,1,S45,BT7,1,S45,BT7
HQ7,69,A75,HQ7,69,A75,HQ7
BT7,75,H15,BT7,75,H15,BT7
BX1,795,.A8,5C3,9,BX1,795
BR1,15,W6G,83,BR1,15,W6G
R72,6.E,785,R72,6.E,785,R72
KJC,514,1.A,958,KJC,514,1.A
BX2,350,.D3,13,BX2,350,.D3
PR9,199,.O2,5P5,3,PR9,199
BX8,764,.Z6,F67,BX8,764,.Z6
PR9,199,.O2,5F3,9,PR9,199
BL5,4.G,64,BL5,4.G,64,BL5
BX1,970,.R6,9,BX1,970,.R6
BX4,331,.2Z,8,BX4,331,.2Z
B24,30,G47,2.00E+05,6,B24,30
BX4,705,.M4,575,R6,BX4,705
BV4,639,.C3,231,3,BV4,639
BV3,700,.D2,3,BV3,700,.D2
BX4,655,.O4,BX4,655,.O4,BX4
BX1,756,.W9,D43,BX1,756,.W9
BX1,421,.D3,BX1,421,.D3,BX1
BT8,46,M37,BT8,46,M37,BT8
HN3,7.C,3,HN3,7.C,3,HN3
BV2,195,BV2,195,BV2,195,BV2
HV9,815,0.6,HV9,815,0.6,HV9
BX1,378,.W4,5,BX1,378,.W4
BX1,378,.5.,L37,BX1,378,.5.
BT7,72,S7,BT7,72,S7,BT7
BS5,87,BS5,87,BS5,87,BS5
PG7,169,.O4,A26,PG7,169,.O4
BS1,455,.Z7,2M8,BS1,455,.Z7
BS4,75,C38,3,BS4,75,C38
